"Term","Definition"
"Identity Lifecycle","The full sequence of an identity's existence from creation through retirement."
"Provisioning / Deprovisioning","Granting and revoking access in a controlled, auditable workflow."
"Identity Proofing","Verifying that a person enrolling a credential is actually who they claim to be."
"Privilege Creep","Gradual accumulation of excessive privileges over time as a subject's role changes."
"IdP","Identity Provider -- the system that authenticates a user and issues signed assertions or tokens."
"SP","Service Provider -- the application that consumes assertions or tokens from the IdP."
"SSO","Single Sign-On -- authenticating once and then accessing many federated applications."
"SAML 2.0","Security Assertion Markup Language -- an XML-based federation protocol for enterprise SSO."
"OAuth 2.0","A delegated authorization framework that uses access tokens."
"OIDC","OpenID Connect -- an authentication layer built on top of OAuth 2.0 using JWT ID tokens."
"RBAC","Role-Based Access Control -- access decisions based on roles assigned to subjects."
"ABAC","Attribute-Based Access Control -- access decisions based on attributes of subject, object, action, and environment."
"MAC","Mandatory Access Control -- system-enforced, classification-based access control with no user discretion."
"DAC","Discretionary Access Control -- resource-owner-controlled access decisions."
"PDP","Policy Decision Point -- the component that evaluates access policies."
"PEP","Policy Enforcement Point -- the component that enforces the PDP's decision."
"Conditional Access","Context-aware access policies that combine signals like device posture, location, and time."
"Attestation","Cryptographic evidence that a device or workload is in a trustworthy state."
"FAR / FRR","False Accept Rate / False Reject Rate -- the two error rates that biometric systems trade off."
"PAM","Privileged Access Management -- a platform for vaulting, brokering, and auditing privileged sessions."
"JIT Access","Just-in-Time Access -- temporary, time-limited elevation of privilege rather than standing membership."
"Secrets Management","Centralized, audited storage and rotation of machine credentials."
"Golden SAML","An attack technique that uses a stolen token-signing key to forge SAML assertions."
"Credential Dumping","Theft of reusable credentials, tickets, hashes, or tokens from a system."
"Privilege Escalation","Gaining a higher level of authorization than was originally granted."
"Lateral Movement","Using compromised identity material to pivot to additional systems or trust zones."
"Defensive Evasion","Actions taken to reduce visibility, suppress logging, or blend into legitimate administration."
"Kerberos","A ticket-based authentication protocol for Windows domains and Unix realms."
"802.1X / EAP","A framework for port-based network authentication, commonly used over Wi-Fi or wired switches."
"SAE","Simultaneous Authentication of Equals -- the WPA3 handshake that replaces WPA2's four-way handshake."
"MFA Fatigue","An attack that triggers repeated push prompts until the user approves one."
